year,industryLargeClassName,industryMediumClassName,brandCount,quantifiedSalesBrandCount,quantifiedStartupBrandCount,totalFranchiseStoreCount,totalNewFranchiseRegistrationCount,totalContractEndCount,totalContractCancellationCount,totalClosureLikeCount,averageBrandSalesKrw,medianBrandSalesKrw,averageBrandStartupCostKrw,medianBrandStartupCostKrw,averageStoresPerBrand,medianStoresPerBrand,averageNewRegistrationsPerBrand,averageEndCountsPerBrand,averageCancellationCountsPerBrand,newRegistrationRateByStore,closureLikeRateByStore,joinedBrandCoverageRate
2019,서비스,교육 (교과),64,64,64,14723,3402,1886,788,2674,121326344,14920500,83132453,55825000,230,60,53,29,12,0.2311,0.1816,1
2019,서비스,교육 (외국어),107,107,107,17617,3275,1611,797,2408,133786972,8964000,147759140,85800000,165,26,31,15,7,0.1859,0.1367,1
2019,서비스,기타 교육,168,168,168,5998,971,278,227,505,64484000,0,121674607,74800000,36,8,6,2,1,0.1619,0.0842,1
2019,서비스,기타 서비스,200,200,200,3349,919,204,123,327,57715310,0,133887080,122700000,17,4,5,1,1,0.2744,0.0976,1
2019,서비스,반려동물 관련,18,18,18,178,17,22,22,44,105223333,0,198954889,84205000,10,3,1,1,1,0.0955,0.2472,1
2019,서비스,배달,3,3,3,7,5,2,0,2,0,0,57416667,64750000,2,0,2,1,0,0.7143,0.2857,1
2019,서비스,부동산 중개 ,4,4,4,20,9,2,9,11,192041750,0,37725000,44550000,5,1,2,1,2,0.45,0.55,1
2019,서비스,세탁,26,26,26,4408,640,171,75,246,26336000,12928500,54413077,22425000,170,12,25,7,3,0.1452,0.0558,1
2019,서비스,숙박,17,17,17,228,54,2,6,8,194622882,0,2655995000,802600000,13,5,3,0,0,0.2368,0.0351,1
2019,서비스,스포츠 관련,71,71,71,2272,620,108,7,115,95606465,0,224316479,166800000,32,3,9,2,0,0.2729,0.0506,1
2019,서비스,안경,55,55,55,2950,299,113,71,184,220044309,222086000,167124873,166700000,54,30,5,2,1,0.1014,0.0624,1
2019,서비스,약국,4,4,4,3781,267,190,73,263,0,0,92047500,87160000,945,945,67,48,18,0.0706,0.0696,1
2019,서비스,오락,16,16,16,445,110,21,1,22,158270625,0,247834375,171905000,28,5,7,1,0,0.2472,0.0494,1
2019,서비스,운송,9,9,9,1860,419,3,0,3,0,0,2823556,440000,207,0,47,0,0,0.2253,0.0016,1
2019,서비스,유아 관련 (교육 외),53,53,53,1192,131,139,66,205,121592868,33531000,285302302,220600000,22,6,2,3,1,0.1099,0.172,1
2019,서비스,유아관련,3,3,3,60,7,8,0,8,62619000,0,209663333,247990000,20,4,2,3,0,0.1167,0.1333,1
2019,서비스,이미용,148,148,148,3980,574,312,105,417,152341311,0,127534000,108150000,27,10,4,2,1,0.1442,0.1048,1
2019,서비스,이사,5,5,5,508,39,67,0,67,101398200,79546000,12324000,6990000,102,114,8,13,0,0.0768,0.1319,1
2019,서비스,인력 파견,14,14,14,202,31,12,6,18,64591357,11764500,28447357,23750000,14,11,2,1,0,0.1535,0.0891,1
2019,서비스,임대,6,6,6,51,42,1,0,1,103912333,42849500,126932500,137250000,9,8,7,0,0,0.8235,0.0196,1
2019,서비스,자동차 관련,51,51,51,6384,461,237,91,328,102469431,0,95005725,72778000,125,11,9,5,2,0.0722,0.0514,1
2019,서비스,PC방,38,38,38,1545,544,224,152,376,128050947,0,162198289,147875000,41,11,14,6,4,0.3521,0.2434,1
2019,외식,기타 외국식,81,81,81,954,256,95,33,128,176526802,0,114619506,92750000,12,5,3,1,0,0.2683,0.1342,1
2019,외식,기타 외식,772,772,772,16774,3995,1792,515,2307,190851977,22030000,105985925,84800000,22,6,5,2,1,0.2382,0.1375,1
