year,industryMediumClassName,rankInIndustry,brandName,corpName,franchiseStoreCount,averageSalesAmountKrwAssumed,startupTotalAmountKrwAssumed,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount
2025,피자,7,서오릉피자,(주)서오릉에프앤비,64,713236000,94557000,2,0,1
2025,피자,8,김여주피자,김여주피자,1,694498000,58200000,0,0,0
2025,피자,9,핏제리아오,(주)희스토리푸드,8,655484000,140050000,2,0,0
2025,피자,10,탐나는피자,탐나코리아,47,645854000,87900000,30,0,0
2025,피자,11,번쩍피자,(주)번쩍코리아,58,636435000,62400000,14,0,6
2025,피자,12,잭슨피자,엘더블유지(주),42,607788000,169762000,3,1,1
2025,피자,13,상상피자,상상피자서면본점,2,586881000,39400000,1,1,0
2025,피자,14,파파존스피자,한국파파존스(주),250,579820000,219125000,14,3,0
2025,피자,15,치즈웨이브,(주)피스앤피스,5,550217000,62950000,0,0,0
2025,피자,16,에이셉피자,(주)에이셉랩,11,532216000,70900000,3,0,2
2025,피자,17,티엠티피자(TMT피자),(주)티엠티컴퍼니,15,521590000,55450000,12,4,0
2025,피자,18,이유피자&파스타(EU피자&파스타),디자인이유,4,516931000,179500000,2,0,0
2025,피자,19,리골레토시카고피자,(주)다이닝팩토리,3,498832000,100350000,0,4,0
2025,피자,20,위험한 피자,위험한피자,12,480896000,34300000,7,0,2
2025,피자,21,피자선생,피자선생가맹사업본부,17,470010000,77700000,1,0,6
2025,피자,22,피자헛,한국피자헛(유),260,445994000,190651000,3,25,15
2025,피자,23,언노운피자[UNKNOWN PIZZA],(주)언노운프렌즈,11,415447000,15860000,7,1,0
2025,피자,24,반올림피자,(주)피자앤컴퍼니,365,409280000,76500000,38,26,0
2025,피자,25,청년피자,(주)비에스비푸드,312,404502000,64845000,9,3,28
2025,피자,26,레코드피자,(주)알피케이컴퍼니,24,403836000,85850000,5,0,0
2025,피자,27,왕손피자,(주)왕손,35,396262000,44280000,6,8,0
2025,피자,28,피맥하우스,㈜오엠케이컴퍼니,14,386547000,85600000,0,0,5
2025,피자,29,빽보이피자,(주)더본코리아,243,378299000,66010000,49,8,0
2025,피자,30,피나치공,(주)리치빔,562,374266000,59650000,101,44,0
2025,중식,1,일일향,(주)에이치에스푸드컴퍼니,16,2377222000,297600000,3,3,0
2025,중식,2,무궁화반점,(주)한빛,7,2083317000,152700000,4,1,0
2025,중식,3,짬뽕지존,투맨홀딩스(주),89,1457708000,151250000,7,7,0
2025,중식,4,메이탄,성호푸드,9,1453557000,475440000,1,2,0
2025,중식,5,북경짜장,(주)다함컴퍼니,3,1320810000,145850000,0,0,0
2025,중식,6,뽕사부,(주)뽕사부컴퍼니,13,1237490000,228000000,1,0,1
2025,중식,7,중식명장 이송학,성호푸드,2,1226420000,788500000,0,0,0
2025,중식,8,매란방,(주)테이스티컴퍼니,7,1146803000,211800000,1,0,0
2025,중식,9,딤타오,딤타오,2,1138957000,312536000,1,1,0
2025,중식,10,불이아,더월드(theworld),7,1102485000,285500000,0,2,0
2025,중식,11,이가네양꼬치,이가네양꼬치,34,1090708000,108700000,6,0,2
2025,중식,12,보배반점,(주)보배에프앤비,198,1066159000,162105000,36,7,0
2025,중식,13,짬뽕관,(주)짬뽕관,62,1028550000,145700000,31,3,0
2025,중식,14,청,비컨홀딩스(주),2,933216000,251050000,0,1,0
2025,중식,15,중경식객,호원푸드(주),7,871279000,119350000,6,2,0
2025,중식,16,짬뽕타운,(주)대명코리아,6,868165000,98220000,0,0,0
2025,중식,17,쓰촨두보마라탕,주)돌우물,1,855058000,118300000,0,0,0
2025,중식,18,라라드래곤반점,인아푸드,4,782967000,87800000,4,0,0
2025,중식,19,청화당,비컨홀딩스(주),2,782638000,251050000,0,1,0
2025,중식,20,댄싱홍콩,위캔컴퍼니(Wecancompany),2,773973000,95950000,1,0,0
2025,중식,21,마라섬,(주)테르에프앤비,16,766154000,53050000,7,0,0
2025,중식,22,조기종의 향미각,(주)향미푸드,5,757184000,132100000,5,0,0
2025,중식,23,홍콩반점0410,(주)더본코리아,293,739394000,103614000,18,7,0
2025,중식,24,샹츠마라,(주)엑스씨글로벌홀딩스,35,728124000,57550000,12,0,1
2025,중식,25,차알(Cha’R),차알(주),13,723137000,133700000,10,3,0
2025,중식,26,미친양꼬치,미친양꼬치,1,718875000,136000000,1,0,0
2025,중식,27,춘리마라탕,(주)씨엘케이에프앤비,202,697603000,93140000,30,2,6
2025,중식,28,발재반점,(주)늘솜,1,661269000,283800000,0,0,0
2025,중식,29,이비가짬뽕,(주)이비가푸드,132,658591000,120500000,10,12,0
2025,중식,30,짬뽕9단,푸드스토리,2,637681000,95755000,0,0,0
2025,서양식,1,더몰트하우스,(주)더몰트하우스컴퍼니,6,1498867000,189750000,1,0,0
2025,서양식,2,코지하우스,(주)코지하우스코리아,45,1014769000,141400000,14,2,0
2025,서양식,3,파스타예요,(주)포엠에프앤비,44,945477000,23538000,31,0,0
2025,서양식,4,문화식당,(주)문화식당,2,934900000,30000000,0,0,0
2025,서양식,5,라브리크,(주)버진에프엔비,3,918555000,196600000,1,0,0
2025,서양식,6,돈까스클럽,(주)일승식품,28,915014000,209900000,0,5,0
2025,서양식,7,그로어스,에스엠에스엠(주),4,876852000,174600000,1,0,0
2025,서양식,8,미즈컨테이너,(주)에스앤에스코퍼레이션,2,805784000,171450000,0,0,0
2025,서양식,9,뽁식당,(주)열정,11,805002000,172900000,5,0,0
2025,서양식,10,알라보(allavo),알라보(주),5,793996000,180500000,0,1,0
2025,서양식,11,까사피에스타,까사피에스타송파점,1,792591000,61400000,0,0,0
2025,서양식,12,이태리국시,㈜씨에스씨에프앤비,2,771896000,670000000,1,0,0
2025,서양식,13,브런치빈,(주)91컴퍼니,58,761040000,292000000,7,1,3
2025,서양식,14,브런치가든,서가김푸드FC,4,734085000,117200000,2,1,0
2025,서양식,15,덕수파스타 패스트캐쥬얼,(주)씨피알프로젝트,23,729905000,87700000,15,0,0
2025,서양식,16,홍익돈까스,(주)홍익,88,718530000,199470000,3,0,3
2025,서양식,17,스테이크의 정석,(주)시소,3,711571000,138000000,0,0,0
2025,서양식,18,투파인드피터,(주)웨이브,32,665780000,275060000,3,2,1
2025,서양식,19,올리앤(Ollien),(주)올앤컴퍼니,31,665719000,225200000,2,3,0
2025,서양식,20,낭만장사꾼,낭만장사꾼,10,657532000,99000000,0,1,0
2025,서양식,21,롤링파스타,(주)더본코리아,130,644232000,117458000,10,6,0
2025,서양식,22,오지테이블,(주)스토리에프씨,2,603263000,272300000,2,0,0
2025,서양식,23,성북돈까스,(주)유니벅스,4,602086000,188150000,3,0,0
2025,서양식,24,서가앤쿡,(주)에스앤에스컴퍼니,43,601409000,201150000,1,6,0
2025,서양식,25,어흥식당,엠쏘씨케이(주),2,575864000,91350000,1,0,0
2025,서양식,26,카츠헤세드,헤세드(주),4,552395000,112000000,3,0,0
2025,서양식,27,파스타한끼,파스타한끼노원본점,1,532500000,36100000,0,0,0
2025,서양식,28,어니스트식스티(HONEST 6T),어니스트프로젝트,3,497607000,91310000,2,0,0
2025,서양식,29,파앤피파스타하우스,파앤피파스타하우스,3,491772000,63500000,1,1,0
2025,서양식,30,사생활,(주)화합과전진,12,491497000,143800000,0,0,0
2025,제과제빵,1,윤쉐프 정직한제빵소,(주)정미작소,1,1359753000,588550000,0,1,0
2025,제과제빵,2,밀키샵,어반바이트(주),7,1090371000,140700000,3,3,0
2025,제과제빵,3,프랑제리,(주)이랜드이츠,10,1062988000,197300000,0,2,0
2025,제과제빵,4,더 베이커스 가든(The Baker's Garden),(주)올앤컴퍼니,1,896260000,676300000,0,0,0
2025,제과제빵,5,해월당,(주)해와달에프앤비,9,863490000,366900000,4,0,0
2025,제과제빵,6,빵쌤(BBANGSSAEM),(주)빵쌤플러스,12,850553000,291000000,6,0,4
2025,제과제빵,7,아우어베이커리(OUR Bakery),(주)플레이에프앤비,16,838203000,359900000,9,0,0
2025,제과제빵,8,빽다방빵연구소,(주)더본코리아,18,830924000,252913000,4,1,0
2025,제과제빵,9,WOO'Z,우즈(주),13,803888000,450800000,2,0,0
2025,제과제빵,10,카페드리옹,"(주)알앤비푸드테크(R&BFoodTechco.,Ltd.)",4,787359000,164440000,0,0,0
2025,제과제빵,11,올드페리도넛,(주)올드페리도넛,10,771178000,708500000,4,0,1
2025,제과제빵,12,삼송빵집,(주)삼송비엔씨(BNC),31,769320000,65380000,9,2,0
2025,제과제빵,13,도나스데이,미스앤미스터(주),4,732859000,182413000,3,0,0
2025,제과제빵,14,파리바게뜨,(주)파리크라상,3327,705571000,280600000,52,89,25
2025,제과제빵,15,화이트리에,(주)화이트리에,62,690346000,156469000,42,1,0
2025,제과제빵,16,가드니아,(주)가드니아,5,659036000,730000000,1,0,1
2025,제과제빵,17,스토리오브라망,라망코리아㈜,5,645617000,154900000,4,0,0
2025,제과제빵,18,롤링핀,(주)롤링핀컴퍼니,38,609871000,311950000,3,9,0
2025,제과제빵,19,쟈빠따,(주)피쉐프코리아,3,598329000,183500000,2,0,0
2025,제과제빵,20,곤트란쉐리에(Gontran Cherrier),(주)르미디,24,588614000,312500000,9,4,0
2025,제과제빵,21,웨인스베이글스(Wayne’s Bagels),웨인스홀딩스(주),3,582121000,120000000,2,1,0
2025,제과제빵,22,마호가니,(주)도레도레,2,580399000,214410000,0,0,0
2025,제과제빵,23,뚜레쥬르,씨제이푸드빌(주),1307,579594000,353750000,76,14,62
2025,제과제빵,24,아방+베이커리,(주)아방가르드,6,559760000,47400000,5,0,0
2025,제과제빵,25,홍미당,(주)에이블비즈,3,555000000,224200000,1,1,0
2025,제과제빵,26,테디스베이글(Teddy's Bagel),(주)앤서니그룹,1,513084000,116280000,1,0,0
