sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption
brand_franchise_stats,2023,외식,기타 외식,(주)제이앤피몽뜨레,몽뜨레셰프,2,0,0,0,0,324150,324150000,3652,3652000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)제이앤피몽뜨레,몽뜨레셰프 인더키친 패밀리 레스토랑,2,0,0,0,0,328900,328900000,2453,2453000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)몬쉘코리아,몽슈슈,6,2,0,0,0,277526,277526000,10279,10279000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)쏭앤킴푸드,몽키친,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)씨랩,무쇠치킨,0,0,3,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,승승그룹(주),무한행복담양,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)문가네푸드,문가네정육식당,9,2,0,0,0,1100844,1100844000,24738,24738000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,문지현쭈꾸미볶음전문점,문지현쭈꾸미볶음,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)문패밀리,문토스트,29,5,7,3,1,175634,175634000,11391,11391000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,푸드딜라이트,뭐라커리,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,농업회사법인(주)사천노마,뭐양,3,0,0,1,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,에스엠코아퍼레이션(주),미가오니기라즈,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,닭터박,미구엘의 돈까스가게,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)한율에프앤비,미남곱창,1,1,0,0,0,24206,24206000,2420,2420000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)에스이엠,마시그래이,73,6,10,0,7,110110,110110000,9161,9161000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,마린커피로스터스,마린커피,14,4,1,0,0,146308,146308000,13939,13939000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)디에스이엔,마노핀,2,0,0,0,0,41366,41366000,1532,1532000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)태진리테일,링스보스턴,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)오리지날스푼,릴렉스라운지,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,리터킹체인본부,리터킹,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,알앤에프컨설팅,리스아라비카,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,리띵커피,리띵커피,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,까사델커피,르몬(Le Mohn),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,르돌치일구사육(주),르돌치1946(LeDolci1946),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)성공시대,룩앳더 바리스타,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,주점,(주)야푸드,혜화어묵당,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,주점,미코에프씨(주),헬로사이판,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,주점,오리엔츠,헤이그로밋,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,주점,홍익,해머비어,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,주점,(주)합에프앤비(합F&B),합(合),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
