id,sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption,hasStartupStats,franchiseFeeAmountRaw,franchiseFeeAmountKrwAssumed,educationFeeAmountRaw,educationFeeAmountKrwAssumed,depositAmountRaw,depositAmountKrwAssumed,otherStartupAmountRaw,otherStartupAmountKrwAssumed,startupTotalAmountRaw,startupTotalAmountKrwAssumed
2025||외식||한식||철이네오복||철이네오복,brand_franchise_stats,2025,외식,한식,철이네오복,철이네오복,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,7700,7700000,3300,3300000,2000,2000000,84700,84700000,97700,97700000
2025||외식||한식||철길자갈구이||철자구자갈구이,brand_franchise_stats,2025,외식,한식,철길자갈구이,철자구자갈구이,3,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,11000,11000000,0,0,44000,44000000,77000,77000000
2025||외식||한식||(주)이타소울||첨단공원국밥,brand_franchise_stats,2025,외식,한식,(주)이타소울,첨단공원국밥,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,7700,7700000,3300,3300000,5000,5000000,91600,91600000,107600,107600000
2025||외식||기타 외식||(주)미진미트||디어벨류(Dear Value),brand_franchise_stats,2025,외식,기타 외식,(주)미진미트,디어벨류(Dear Value),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,3000,3000000,61050,61050000,72850,72850000
2025||외식||기타 외식||이센스||디저트일구,brand_franchise_stats,2025,외식,기타 외식,이센스,디저트일구,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,3000,3000000,41800,41800000,53600,53600000
2025||외식||기타 외식||(주)어웨이크||딜리버리네오,brand_franchise_stats,2025,외식,기타 외식,(주)어웨이크,딜리버리네오,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,0,0,24970,24970000,33770,33770000
2025||외식||기타 외식||뚱부유부||딜리어트(DELIET),brand_franchise_stats,2025,외식,기타 외식,뚱부유부,딜리어트(DELIET),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,5000,5000000,93500,93500000,115000,115000000
2025||외식||기타 외식||띵동F&amp;B||띵똥와플,brand_franchise_stats,2025,외식,기타 외식,띵동F&amp;B,띵똥와플,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,1650,1650000,2000,2000000,33000,33000000,42150,42150000
2025||외식||기타 외식||(주)와밀||라 디저트,brand_franchise_stats,2025,외식,기타 외식,(주)와밀,라 디저트,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,2000,2000000,0,0,13000,13000000
2025||외식||기타 외식||새로인베스트먼트(주)||라디오베이(RADIO BAY),brand_franchise_stats,2025,외식,기타 외식,새로인베스트먼트(주),라디오베이(RADIO BAY),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,10000,10000000,5000,5000000,0,0,180000,180000000,195000,195000000
2025||외식||기타 외식||라라카츠||라라카츠,brand_franchise_stats,2025,외식,기타 외식,라라카츠,라라카츠,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,0,0,73000,73000000,81800,81800000
2025||외식||기타 외식||라이스박스||라이스박스,brand_franchise_stats,2025,외식,기타 외식,라이스박스,라이스박스,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,2200,2200000,3000,3000000,37600,37600000,48300,48300000
2025||외식||기타 외식||라화각||라화각마라탕,brand_franchise_stats,2025,외식,기타 외식,라화각,라화각마라탕,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,2200,2200000,2000,2000000,52250,52250000,59750,59750000
2025||외식||기타 외식||(주)세광그린푸드리테일||램1997,brand_franchise_stats,2025,외식,기타 외식,(주)세광그린푸드리테일,램1997,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,4400,4400000,6000,6000000,158950,158950000,180350,180350000
2025||외식||기타 외식||레오||레오커피&주스(LEO Coffee & Juice),brand_franchise_stats,2025,외식,기타 외식,레오,레오커피&주스(LEO Coffee & Juice),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,2000,2000000,53570,53570000,64370,64370000
2025||외식||기타 외식||(주)바론에프엔씨||레츠카츠,brand_franchise_stats,2025,외식,기타 외식,(주)바론에프엔씨,레츠카츠,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,5000,5000000,140500,140500000,162000,162000000
2025||외식||기타 외식||(주)루시카토||루시카토캔디,brand_franchise_stats,2025,외식,기타 외식,(주)루시카토,루시카토캔디,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,1100,1100000,5000,5000000,38500,38500000,47900,47900000
"2025||외식||기타 외식||(주)에이치비에스||루타6,400km",brand_franchise_stats,2025,외식,기타 외식,(주)에이치비에스,"루타6,400km",0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,17600,17600000,3300,3300000,3000,3000000,86900,86900000,110800,110800000
2025||외식||분식||(주)최선생||꽈백최선생,brand_franchise_stats,2025,외식,분식,(주)최선생,꽈백최선생,38,17,3,1,3,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,4400,4400000,3300,3300000,3000,3000000,44800,44800000,55500,55500000
2025||외식||분식||(주)외식전문기업제이케이||꾸분,brand_franchise_stats,2025,외식,분식,(주)외식전문기업제이케이,꾸분,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,1650,1650000,0,0,62700,62700000,69850,69850000
2025||외식||분식||(주)거북이꿈||나의18번떡볶이,brand_franchise_stats,2025,외식,분식,(주)거북이꿈,나의18번떡볶이,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,5000,5000000,41800,41800000,57800,57800000
2025||외식||분식||(주)대정에프씨||내가쉐프라면,brand_franchise_stats,2025,외식,분식,(주)대정에프씨,내가쉐프라면,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,0,0,78100,78100000,94600,94600000
